name;sex;count
Abdiwahab;M;13
Abdiwali;M;5
Abdo;M;31
Abdon;M;33
Abdou;M;97
Abdoul;M;203
Abdoulaye;M;336
Abdoulaziz;M;5
Abdoulie;M;43
Abdourahman;M;6
Abdourahmane;M;12
Abdrahman;M;10
Abdriel;M;14
Abdu;M;6
Abduallah;M;16
Abdul;M;1175
Abdulah;M;5
Abdulahad;M;83
Abdulahi;M;241
Abdulai;M;42
Abdulaye;M;5
Abdulazeem;M;5
Abdulazeez;M;14
Abdulazim;M;5
Abdulaziz;M;750
Abdulbari;M;5
Abdulbasit;M;25
Abdulelah;M;39
Abdulghani;M;11
Abdulhaadi;M;5
Abdulhadi;M;107
Abdulhakeem;M;24
Abdulhameed;M;11
Abdulhamid;M;53
Abduljabbar;M;26
Abduljaleel;M;5
Abdulkadir;M;75
Abdulkareem;M;95
Abdulkarim;M;90
Abdulkhaliq;M;18
Abdulla;M;110
Abdullah;M;3349
Abdullahi;M;909
Abdullatif;M;27
Abdulloh;M;60
Abdulmajeed;M;36
Abdulmajid;M;11
Abdulmalek;M;5
Abdulmalik;M;262
Abdulmannan;M;5
Abdulmohsen;M;21
Abdulnasir;M;5
Abdulqadir;M;32
Abdulraheem;M;70
Abdulrahim;M;43
Abdulrahman;M;1211
Abdulrazaq;M;5
Abdulrehman;M;33
Abdulrhman;M;23
Abdulsalam;M;42
Abdulsamad;M;22
Abdulwadud;M;5
Abdulwahab;M;86
Abdulwahid;M;18
Abdulwali;M;11
Abdur;M;70
Abdurahim;M;5
Abdurahman;M;203
Abdurahmon;M;5
Abdurraheem;M;26
Abdurrahman;M;368
Abdurrehman;M;24
Abe;M;626
Abed;M;23
Abednego;M;37
Abeeha;F;97
Abeer;F;107
Abeer;M;66
Abeera;F;60
Abegail;F;132
Abegayle;F;7
Abel;F;47
Abel;M;21970
Abela;F;22
Abelardo;M;529
Abelina;F;63
Abelino;M;64
Abell;M;18
Abella;F;675
Abem;M;67
Aben;M;21
Abena;F;134
Abenezer;M;139
Abeni;F;73
Aberdeen;F;138
Aberham;M;5
Abernathy;F;27
Abgail;F;7
Abha;F;32
Abhay;M;404
Abheek;M;7
Abhi;M;120
Abhigna;F;42
Abhijay;M;50
Abhijit;M;10
Abhijot;M;50
Abhik;M;11
Abhimanyu;M;120
Abhinav;M;793
Abhinaya;F;5
Abhir;M;5
Abhiraam;M;6
Abhiraj;M;67
Abhiram;M;603
Abhirami;F;5
Abhishek;M;82
Abhyuday;M;10
Abi;F;190
Abi;M;11
Abia;F;68
Abiageal;F;97
Abiah;F;47
Abian;M;20
Abianna;F;5
Abid;M;103
Abida;F;20
Abidah;F;5
Abidan;M;6
Abie;F;17
Abie;M;43
Abiegail;F;5
Abiel;F;16
Abiel;M;571
Abiela;F;15
Abiella;F;6
Abiezer;M;5
Abigael;F;593
Abigaelle;F;148
Abigahil;F;17
Abigai;F;6
Abigail;F;123643
Abigail;M;126
Abigaile;F;176
Abigailgrace;F;18
Abigaille;F;11
Abigailmarie;F;11
Abigailrose;F;25
Abigal;F;193
Abigale;F;1646
Abigayil;F;6
Abigayl;F;89
Abigayle;F;1406
Abigeal;F;7
Abigel;F;21
Abigial;F;57
Abiha;F;115
Abijah;F;40
Abijah;M;117
Abilene;F;634
Abilyn;F;5
Abilynn;F;6
Abimael;M;404
Abimbola;M;5
Abimelec;M;35
Abin;M;5
Abinav;M;30
Abinaya;F;28
Abiola;F;48
Abiola;M;12
Abiona;F;5
Abir;F;16
Abir;M;243
Abira;F;17
Abiram;M;7
Abirami;F;10
Abisag;F;6
Abisai;F;75
Abisai;M;357
Abisaid;M;5
Abish;F;7
Abisha;F;39
Abishai;F;26
Abishai;M;135
Abisola;F;46
Abiy;M;9
Abiya;F;5
Abiyah;F;7
Abiyah;M;5
Abla;F;6
Ablakat;F;15
Able;M;345
Abnel;M;6
Abner;M;1825
Abney;F;5
Abniel;M;5
Abou;M;25
Aboubacar;M;165
Aboubakar;M;18
Abra;F;88
Abraam;M;30
Abraar;M;7
Abrah;F;19
Abraham;F;37
Abraham;M;22200
Abrahan;M;214
Abraheem;M;5
Abrahem;M;16
Abrahim;M;215
Abrahm;M;306
Abram;M;7179
Abran;M;332
Abrar;F;212
Abrar;M;188
Abraxas;M;17
Abraya;F;5
Abrea;F;38
Abreana;F;10
Abreanna;F;31
Abree;F;350
Abrem;M;5
Abren;M;11
Abreonna;F;5
Abrey;F;82
Abrham;M;11
Abri;F;166
Abria;F;203
Abriah;F;20
Abrial;F;11
Abrian;M;139
Abriana;F;737
Abrianna;F;1633
Abriannah;F;15
Abrianne;F;5
Abrie;F;175
Abriel;F;171
Abriel;M;285
Abriela;F;41
Abriella;F;1194
Abrielle;F;2526
Abrien;M;15
Abrienne;F;22
Abrihet;F;5
Abril;F;3274
Abrina;F;41
Abrion;M;5
Abriona;F;5
Abrionna;F;19
Abrish;F;73
Abriya;F;13
Abriyah;F;5
Abrum;M;40
Abry;F;13
Abryana;F;77
Abryanna;F;117
Abryella;F;17
Abryelle;F;20
Abryl;F;8
Absalat;F;41
Absalom;M;50
Abshir;M;55
Absidy;F;11
Abtin;M;6
Abu;M;103
Abubacar;M;14
Abubacarr;M;20
Abubakar;M;406
Abubakarr;M;29
Abubaker;M;21
Abubakr;M;261
Abuk;F;35
Abukar;M;18
Aby;F;118
Abyan;F;22
Abyan;M;105
Abygael;F;30
Abygail;F;1244
Abygaile;F;6
Abygale;F;157
Abygayle;F;47
Abyssinia;F;24
Ac;M;13
Acacia;F;909
Acacius;M;6
Acadia;F;433
Acai;M;5
Acamas;M;11
Acari;F;6
Acari;M;38
Acasia;F;19
Accalia;F;66
Ace;F;35
Ace;M;7568
Acea;F;5
Acea;M;31
Acein;M;5
Aceion;M;24
Acelee;F;5
Acelia;F;9
Acelin;F;13
Acelin;M;104
Acelyn;F;320
Acelyn;M;17
Acelynn;F;631
Acen;M;337
Aceon;M;44
Acer;M;34
Acesen;M;10
Aceson;M;284
Aceston;M;12
Acesyn;M;39
Aceton;M;68
Acey;F;18
Acey;M;27
Aceyn;M;111
Aceyon;M;5
Achaia;F;8
Achaius;M;5
Achazia;F;6
Acheron;M;63
Achille;M;18
Achilleas;M;5
Achilles;M;1719
Achilleus;M;22
Achillies;M;61
Achim;M;5
Achintya;M;26
Achol;F;58
Achraf;M;10
Achsah;F;18
Achyut;M;31
Achyuth;M;37
Aciano;M;5
Acie;F;21
Acie;M;66
Aciel;M;7
Acire;F;38
Ackley;F;5
Ackley;M;22
Acsa;F;80
Acxel;M;96
Acy;F;5
Ada;F;8057
Ada;M;7
Adabella;F;158
Adabelle;F;187
Adae;F;5
Adae;M;5
Adael;M;200
Adaela;F;5
Adaelyn;F;6
Adaeze;F;174
Adagio;M;20
Adah;F;793
Adahir;M;36
Adahli;F;5
Adahlia;F;116
Adahy;M;6
Adai;F;13
Adaia;F;112
Adaiah;F;167
Adaiah;M;56
Adaijah;F;23
Adailyn;F;16
Adain;M;150
Adair;F;235
Adair;M;554
Adaira;F;90
Adaire;F;14
Adaiya;F;6
Adaiyah;F;5
Adaja;F;6
Adal;M;73
Adalade;F;5
Adalae;F;188
Adalai;F;78
Adalaide;F;184
Adalaina;F;7
Adalay;F;116
Adalaya;F;89
Adalayah;F;10
Adalayde;F;13
Adalayna;F;6
Adalberto;M;368
Adale;F;5
Adalea;F;69
Adaleah;F;96
Adalee;F;1936
Adaleen;F;70
Adaleena;F;75
Adalei;F;127
Adaleia;F;20
Adaleigh;F;993
Adaleine;F;6
Adalen;F;44
Adalena;F;348
Adalene;F;295
Adaley;F;223
Adaleya;F;33
Adaleyza;F;38
Adali;F;290
Adali;M;7
Adalia;F;913
Adaliah;F;133
Adalicia;F;42
Adalid;F;5
Adalid;M;20
Adalida;F;93
Adalie;F;1219
Adaliene;F;18
Adalin;F;280
Adalina;F;1034
Adalind;F;509
Adaline;F;6640
Adalinn;F;53
Adalinna;F;5
Adalinne;F;5
Adalis;F;66
Adalise;F;50
Adalisse;F;5
Adaliyah;F;28
Adaliz;F;187
Adalize;F;6
Adallyn;F;34
Adaly;F;392
Adalya;F;10
Adalye;F;10
Adalyn;F;17871
Adalyna;F;81
Adalynd;F;72
Adalyne;F;490
Adalynn;F;18455
Adalynna;F;5
Adalynne;F;734
Adalys;F;19
Adalyse;F;6
Adam;F;66
Adam;M;52049
Adama;F;193
Adama;M;150
Adamae;F;45
Adamari;F;735
Adamarie;F;77
Adamaris;F;1023
Adamariz;F;88
Adamary;F;193
Adamarys;F;59
Adamina;F;14
Adamjames;M;5
Adams;M;131
Adan;F;59
Adan;M;8549
Adana;F;32
Adaneli;F;11
Adanelly;F;18
Adanely;F;67
Adanna;F;211
Adannaya;F;25
Adante;M;20
Adanya;F;98
Adaobi;F;16
Adaora;F;122
Adar;F;17
Adar;M;45
Adara;F;685
Adarah;F;34
Adaria;F;20
Adarian;M;89
Adarien;M;10
Adarion;M;13
Adarious;M;11
Adarius;M;262
Adarrion;M;5
Adarrius;M;20
Adarsh;M;206
Adasha;F;22
Adasia;F;23
Adason;F;5
Adassa;F;16
Adasyn;F;120
Adau;F;6
Adaugo;F;27
Adaure;F;5
Adavia;F;5
Adavion;M;5
Adaya;F;518
Adayah;F;120
Adayla;F;29
Adbiel;M;16
Adda;F;33
Addae;M;6
Addai;M;37
Addalee;F;163
Addaleigh;F;88
Addaley;F;39
Addalie;F;101
Addalin;F;14
Addaline;F;151
Addallee;F;10
Addaly;F;5
Addalyn;F;1947
Addalyne;F;85
Addalynn;F;1383
Addalynne;F;106
Addam;M;61
Addasyn;F;82
Addelaide;F;13
Addelin;F;17
Addelina;F;25
Addeline;F;286
Addelyn;F;1673
Addelyne;F;22
Addelynn;F;566
