name;sex;count
Dahlia;F;445
Jazlynn;F;441
Mariam;F;441
June;F;440
Martha;F;440
Carla;F;439
Mckayla;F;437
Bristol;F;436
Gisselle;F;436
Amelie;F;434
Jakayla;F;434
Jolie;F;434
Adalynn;F;433
Jaslene;F;432
Joslyn;F;432
Lea;F;431
Leighton;F;431
Karlee;F;429
Mariyah;F;429
Paityn;F;429
Luciana;F;427
Brynlee;F;426
Carolyn;F;426
Elsa;F;426
Kaya;F;426
Elsie;F;425
Kaylen;F;425
Maritza;F;425
Tara;F;425
Sonia;F;424
Noemi;F;423
Cherish;F;422
Jessie;F;422
Lisa;F;420
Mollie;F;419
Selah;F;419
Greta;F;417
Miah;F;417
Adyson;F;416
Lainey;F;416
Jaqueline;F;415
Ellen;F;414
Reyna;F;414
Kaylyn;F;413
Macey;F;412
Marisa;F;411
Paloma;F;411
Giuliana;F;410
Evie;F;406
Jenny;F;406
Carlie;F;405
Clare;F;405
Regina;F;405
Annabel;F;404
Cristina;F;404
Leanna;F;404
Rosemary;F;404
Phoenix;F;403
Averie;F;402
Emilie;F;402
Iliana;F;402
Tania;F;402
Alena;F;401
Cailyn;F;401
Chaya;F;401
Carley;F;400
Regan;F;400
Amina;F;399
Janae;F;399
Tamia;F;399
Jaylah;F;397
Sanaa;F;397
Campbell;F;396
Charlee;F;396
Zaniyah;F;394
Zion;F;394
Cecelia;F;393
Emmalee;F;393
Jazmyn;F;393
Marlene;F;392
Lilianna;F;391
Leyla;F;389
Britney;F;386
Aisha;F;385
Angelique;F;385
Kallie;F;384
Patience;F;383
Yazmin;F;380
Luz;F;379
Natalya;F;379
Susan;F;378
Kenna;F;377
Alani;F;376
Celia;F;376
Corinne;F;376
Mara;F;376
Moriah;F;376
Karma;F;375
Larissa;F;375
Malaya;F;375
Matilda;F;375
Alisha;F;374
Araceli;F;374
Giada;F;374
Mckinley;F;374
Aryana;F;373
Elaine;F;371
Abbie;F;370
Judith;F;370
Shaniya;F;369
Alia;F;368
Armani;F;368
Renee;F;367
Zara;F;367
Milagros;F;366
Sharon;F;366
Kiersten;F;365
Precious;F;365
Lailah;F;364
Anabella;F;363
Lorelai;F;363
Brinley;F;362
Paula;F;362
Kendal;F;361
Aliza;F;360
Ayana;F;360
Felicity;F;360
Milan;F;360
Salma;F;360
Yoselin;F;360
Keyla;F;359
Kierra;F;359
Azul;F;358
Kaiya;F;358
Zaria;F;358
Ryann;F;356
Libby;F;355
Maliah;F;355
Frances;F;354
Giovanna;F;354
Ingrid;F;354
Kasey;F;354
Monserrat;F;354
Chanel;F;353
Jamya;F;353
Janet;F;353
Shyla;F;351
Dayanara;F;349
Mira;F;349
Shyanne;F;349
Ally;F;348
Alma;F;348
Marianna;F;348
Chana;F;347
Katrina;F;347
Deborah;F;346
Eileen;F;346
Micah;F;346
Nathaly;F;346
Ireland;F;345
Aimee;F;344
Akira;F;344
Yaritza;F;344
Yuliana;F;344
Amirah;F;342
Isabell;F;341
Lylah;F;341
Stacy;F;341
Tess;F;341
Leia;F;340
Belinda;F;339
Jayde;F;337
Rosalie;F;337
Calleigh;F;335
Hana;F;335
India;F;335
Karissa;F;335
Raina;F;335
Shania;F;334
Edith;F;333
Kourtney;F;333
Angeline;F;332
Jacey;F;331
Janice;F;331
Pamela;F;331
Saige;F;331
Adelynn;F;330
Raelynn;F;330
Laylah;F;328
Mylee;F;328
Beatrice;F;327
Marely;F;327
Mayra;F;327
Tianna;F;327
Carissa;F;326
Jaylyn;F;326
Kelsie;F;326
Rubi;F;325
Taniyah;F;325
Aracely;F;324
Ariella;F;324
Mina;F;323
Rylan;F;323
Alyvia;F;322
Livia;F;321
Hayleigh;F;320
Lillianna;F;320
Meadow;F;320
Millie;F;320
Bria;F;318
Yadira;F;318
Elianna;F;317
Charity;F;316
Emelia;F;316
Jocelynn;F;315
Carina;F;314
Damaris;F;314
Rayna;F;314
Taraji;F;314
Belen;F;312
Cristal;F;312
Evelin;F;312
Ember;F;310
Payten;F;310
Sloane;F;310
Demi;F;309
Diya;F;309
Jaylen;F;309
Maryjane;F;309
Rayne;F;309
Mattie;F;308
Abbey;F;307
Alexus;F;307
Karsyn;F;307
Jordin;F;306
Marlie;F;306
Taniya;F;306
Vera;F;306
Destiney;F;303
Myra;F;303
Savanah;F;303
Evelynn;F;302
Harlow;F;301
Jacquelyn;F;301
Princess;F;301
Shaylee;F;301
Alaya;F;300
Caydence;F;300
Tamara;F;300
Lilia;F;298
Xiomara;F;298
Abagail;F;297
Charlize;F;297
Sarahi;F;297
Aliana;F;296
Eloise;F;296
Janiah;F;296
Emmy;F;295
Hadassah;F;294
Averi;F;293
Yamilet;F;293
Kylah;F;292
Unique;F;291
Karly;F;290
Avah;F;289
Caleigh;F;289
Raelyn;F;289
Roselyn;F;289
Dixie;F;288
Kayley;F;288
Ann;F;287
Frida;F;287
Joyce;F;287
Lara;F;287
Rory;F;287
Yasmine;F;287
Jewel;F;286
Kamari;F;286
Keely;F;286
Alisa;F;285
Lorena;F;285
Ali;F;283
Cayla;F;283
Aiyanna;F;282
Ashleigh;F;282
Rebeca;F;282
Taya;F;282
Theresa;F;282
Makena;F;281
Maribel;F;281
Maryam;F;281
Tia;F;281
Lina;F;280
Neveah;F;280
Nola;F;280
River;F;280
Azaria;F;279
Cassie;F;279
Charley;F;279
Ashly;F;278
Dominique;F;278
Esperanza;F;278
Kaelynn;F;278
Kamya;F;278
Lizeth;F;278
Sanai;F;276
Thalia;F;276
Ivanna;F;275
Miya;F;275
Abigale;F;274
Deja;F;274
Leona;F;274
Riya;F;274
Ayleen;F;273
Dalia;F;273
Devyn;F;273
Jaslyn;F;273
Mariela;F;272
Marleigh;F;272
Reina;F;272
Kayleen;F;271
Heidy;F;270
Magdalena;F;270
Karley;F;269
Nyasia;F;269
Pearl;F;269
Stephany;F;269
Azariah;F;268
Karlie;F;268
Reece;F;268
Tanya;F;268
Tiara;F;268
Alannah;F;267
Kloe;F;267
Karli;F;266
Samiyah;F;266
Sydnee;F;266
Valery;F;266
Bree;F;265
Cambria;F;265
Gretchen;F;265
Lilyanna;F;265
Mireya;F;265
Abigayle;F;264
Amiah;F;264
Ashanti;F;264
Essence;F;263
Alayah;F;262
Areli;F;262
Donna;F;262
Emersyn;F;262
Nathalia;F;262
Amaris;F;261
Kristin;F;261
Winter;F;261
Gina;F;260
Carleigh;F;258
Marin;F;258
Roxanne;F;258
Rhianna;F;257
Tegan;F;257
Dalilah;F;256
Gracelynn;F;256
Kyndall;F;256
Krista;F;255
Dania;F;254
Keily;F;254
Sawyer;F;253
Braelynn;F;252
Emory;F;252
Kaley;F;252
Selina;F;252
Shea;F;252
Sky;F;252
Willa;F;252
Braylee;F;251
Gillian;F;251
Kaila;F;251
Leigha;F;251
Bryleigh;F;250
Emmalyn;F;250
Kendyl;F;250
Kinsey;F;250
Shyann;F;250
Ashtyn;F;249
Desirae;F;249
Lucero;F;249
Cierra;F;247
Jackeline;F;247
Kailynn;F;247
Kianna;F;247
Naima;F;247
Shayna;F;247
Zaniya;F;245
Chasity;F;244
Kimber;F;244
Samiya;F;244
Zariyah;F;244
Amalia;F;243
Karis;F;241
Laurel;F;241
Yamileth;F;241
Esme;F;240
Farrah;F;240
Mae;F;240
Ariah;F;239
Jamiyah;F;239
Jolene;F;239
Kaylah;F;239
Treasure;F;239
Jalynn;F;238
Jana;F;238
Leticia;F;238
Samira;F;238
Silvia;F;238
Tyler;F;238
Zuri;F;238
Arya;F;237
Celine;F;237
Adele;F;236
Brittney;F;236
Carrie;F;236
Charli;F;236
Keeley;F;236
Abbygail;F;235
Adison;F;235
Kai;F;235
Rivka;F;235
Gisele;F;234
Maren;F;234
Addie;F;233
Aleigha;F;233
Chelsey;F;233
Christiana;F;233
Johana;F;233
Kairi;F;233
Lyra;F;233
Makaila;F;233
Micaela;F;233
Anabel;F;232
Brookelynn;F;232
Galilea;F;232
Shirley;F;232
Annette;F;231
Brandy;F;231
Nova;F;231
Anais;F;230
Blair;F;230
Monique;F;230
Abrielle;F;229
Anjali;F;229
Blake;F;229
Berenice;F;228
Joelle;F;228
Sariyah;F;228
Delia;F;227
Dorothy;F;227
Emme;F;227
Giavanna;F;227
Izabelle;F;227
Sally;F;227
Aurelia;F;225
Estella;F;225
Kalia;F;225
Keila;F;225
Rocio;F;225
Roxana;F;225
Aubrianna;F;224
Destini;F;224
Iyanna;F;224
Joselin;F;224
Makaylah;F;224
Deasia;F;223
Graciela;F;223
Lesley;F;223
Noa;F;223
Noor;F;223
Raylee;F;223
Suri;F;223
Susana;F;223
Abrianna;F;222
Analise;F;222
Ashton;F;222
Jersey;F;222
Kayli;F;222
Aditi;F;221
Kori;F;221
Lilith;F;221
Rileigh;F;221
Sonya;F;221
Kamiyah;F;220
Lianna;F;220
Nariah;F;220
Zahra;F;220
Iyana;F;219
Jailyn;F;219
Denisse;F;218
Maddie;F;218
Sarina;F;218
Hailie;F;217
Harlee;F;217
Kamora;F;217
Karmen;F;217
Jemma;F;216
Laniya;F;216
Leilah;F;216
Colleen;F;215
Elina;F;215
Nyah;F;215
Shreya;F;215
Violeta;F;215
Aniah;F;214
Aya;F;214
Gracyn;F;214
Kalyn;F;214
Rhea;F;214
Tina;F;214
Dallas;F;213
Darlene;F;213
Saanvi;F;213
Tatianna;F;213
Blanca;F;212
Jamiya;F;212
Justine;F;212
Kaidence;F;212
Malaysia;F;212
Tayla;F;212
Yarely;F;212
Zainab;F;212
Addilyn;F;211
Adelina;F;211
Aubri;F;211
Dani;F;211
Jazmyne;F;211
Luisa;F;210
Maiya;F;210
Sofie;F;210
Ananya;F;209
Arleth;F;209
Evalyn;F;209
Julieta;F;209
Margarita;F;209
Renata;F;209
Shaniyah;F;209
Colette;F;208
Melinda;F;208
Tayler;F;208
Ailyn;F;207
Aliah;F;207
Toni;F;207
Dalila;F;206
Elissa;F;206
Elyssa;F;206
Jaleah;F;206
Tatyana;F;206
Brookelyn;F;205
Laniyah;F;205
Maite;F;205
Annalee;F;204
Ariyana;F;204
Bridgette;F;204
Jazzlyn;F;204
Lidia;F;204
Rhiannon;F;204
Stevie;F;204
Jaclyn;F;203
Janie;F;203
Kya;F;203
Noelia;F;203
Geraldine;F;202
Gwyneth;F;202
Kathy;F;202
Promise;F;202
Amyah;F;201
Brandi;F;201
Cloe;F;201
Landry;F;201
Hillary;F;200
Kamille;F;200
Litzy;F;200
Maylee;F;200
Analeigh;F;199
Anita;F;199
Bayleigh;F;199
Dayanna;F;199
Kelis;F;199
Candace;F;198
Kyndal;F;198
Lacy;F;198
Annabell;F;197
Antonia;F;197
Astrid;F;197
Selene;F;197
Audriana;F;196
Jessa;F;196
Kaycee;F;196
Katlyn;F;195
Maura;F;195
Annaliese;F;194
Arlene;F;194
Katy;F;194
Lilyann;F;194
Milana;F;194
Lillyan;F;193
Mercy;F;193
Nelly;F;193
Saylor;F;193
Carsyn;F;192
Soleil;F;192
Annelise;F;191
Calista;F;191
Citlali;F;191
Estefania;F;191
Izabel;F;191
Kamilah;F;191
Malak;F;191
Maliya;F;191
Vivianna;F;191
Brissa;F;190
Journee;F;190
Kenia;F;190
Lacie;F;190
Yvette;F;190
Alize;F;189
Carol;F;189
Lizette;F;189
Sandy;F;189
Carson;F;188
Christian;F;188
Honesty;F;188
Bryana;F;187
Carli;F;187
Kirra;F;187
Lillyanna;F;187
Meagan;F;187
Samya;F;187
Stacey;F;187
Asha;F;186
Breana;F;186
Greidys;F;186
Karleigh;F;186
Laci;F;186
Makiyah;F;186
Natali;F;186
Nicolette;F;186
Nya;F;186
Fallon;F;185
Gwen;F;185
Hunter;F;185
Jazlene;F;185
Lillyana;F;185
Lilyan;F;185
Milena;F;185
Yara;F;185
Alaysia;F;184
Amia;F;184
Amayah;F;183
Charleigh;F;183
Chiara;F;183
Kensley;F;183
Makiya;F;183
Aanya;F;182
Audrianna;F;182
Candice;F;182
Ericka;F;182
Estefany;F;182
Priscila;F;182
Romina;F;182
Amariah;F;181
Anneliese;F;181
Devin;F;181
Aida;F;180
Celina;F;180
Dina;F;180
Gizelle;F;180
Jaeda;F;180
Nikki;F;180
Noel;F;180
Abygail;F;179
Alycia;F;179
Kacey;F;179
Wynter;F;179
Adilene;F;178
Briella;F;178
Jaedyn;F;178
Kaleah;F;178
Robin;F;178
Trista;F;178
Caitlynn;F;177
Ivana;F;177
Samaya;F;177
Beatriz;F;176
Blakely;F;176
Camden;F;176
Camdyn;F;176
Drew;F;176
Jordynn;F;176
Robyn;F;176
Ayden;F;175
Cordelia;F;175
Emani;F;175
Isha;F;175
Makenzi;F;175
Yaneli;F;175
Yuridia;F;175
Alanah;F;174
Alex;F;174
Caelyn;F;174
Fabiola;F;174
Liv;F;174
Mayte;F;174
Nichole;F;174
Peighton;F;174
Vanesa;F;174
Alessia;F;173
Bonnie;F;173
Constance;F;173
Kacie;F;173
Xochitl;F;173
Elliot;F;172
Jacklyn;F;172
Mariella;F;172
Nadine;F;172
Brea;F;171
Ebony;F;171
Ellery;F;171
Geneva;F;171
Kalli;F;171
Melia;F;171
Pyper;F;171
Harmoni;F;170
Juniper;F;170
Karolina;F;170
Marlen;F;170
Sheila;F;170
Sheyla;F;170
Soraya;F;170
Audra;F;169
Elliott;F;169
Josselyn;F;169
Malina;F;169
Marian;F;169
Sahara;F;169
Zaira;F;169
Aubriana;F;168
Ginger;F;168
Malka;F;168
Amerie;F;167
Arden;F;167
Emmaline;F;167
Joana;F;167
Marcella;F;167
Tahlia;F;167
Alli;F;166
Ariyah;F;166
Kalani;F;166
Kalea;F;166
Lucinda;F;166
Maylin;F;166
Rita;F;166
Adela;F;165
Savana;F;165
Temperance;F;165
Yahaira;F;165
Ayva;F;164
Evangelina;F;164
Harlie;F;164
Kailani;F;164
Kamiya;F;164
Nahla;F;164
Preslee;F;164
Susanna;F;164
Berkley;F;163
Kelsi;F;163
Reilly;F;163
Shaelyn;F;163
Yolanda;F;163
Cayleigh;F;162
Heavenly;F;162
Ivette;F;162
Izzabella;F;162
Joslynn;F;162
Malayah;F;162
Ryley;F;162
Adamaris;F;161
Emerald;F;161
Lela;F;161
Lourdes;F;161
Sunny;F;161
Thea;F;161
Adrian;F;160
Alyse;F;160
Anaiah;F;160
Dasia;F;160
Jackelyn;F;160
Jaya;F;160
Juana;F;160
Katharine;F;160
Remi;F;160
Samaria;F;160
Betsy;F;159
Brylie;F;159
Elia;F;159
Estelle;F;159
Flor;F;159
Haidyn;F;159
Margot;F;159
Shira;F;159
Cayden;F;158
Jaela;F;158
Janaya;F;158
Jasmyn;F;158
Leena;F;158
Nalani;F;158
Neha;F;158
Tracy;F;158
Alora;F;157
Aviana;F;157
Avianna;F;157
Bryn;F;157
Jazelle;F;157
Kaci;F;157
Raya;F;157
Rilee;F;157
Rosalyn;F;157
Aubry;F;156
Lanie;F;155
Brianne;F;154
Kenadie;F;154
Lluvia;F;154
Miyah;F;154
Allyssa;F;153
Amberly;F;153
Antonella;F;153
Candy;F;153
Cloey;F;153
Dianna;F;153
Jaycie;F;153
Kami;F;153
Shakira;F;153
Avani;F;152
Emmie;F;152
Estefani;F;152
Kloey;F;152
Kora;F;152
Lillyann;F;152
Madisen;F;152
Madysen;F;152
Sahana;F;152
Alexys;F;151
Ariyanna;F;151
Calli;F;151
